mouse_symbol,human_symbol,source,confidence
CDCA3,CDCA3,HCOP,13
GABRG2,GABRG2,HCOP,13
IRX3,IRX3,HCOP,13
LY6G6C,LY6G6C,HCOP,13
MAGI1,MAGI1,HCOP,13
NFATC1,NFATC1,HCOP,13
NFKBIL1,NFKBIL1,HCOP,13
PHF1,PHF1,HCOP,13
PTX4,PTX4,HCOP,13
RP1L1,RP1L1,HCOP,13
SDS,SDS,HCOP,13
SEPTIN4,SEPTIN4,HCOP,13
TMEM179,TMEM179,HCOP,13
TOM1,TOM1,HCOP,13
TRPV1,TRPV1,HCOP,13
1110004F10RIK,C11ORF58,HCOP,12
1110032F04RIK,C3ORF80,HCOP,12
1110059E24RIK,C9ORF85,HCOP,12
1110059G10RIK,KIAA1143,HCOP,12
1600012H06RIK,C6ORF120,HCOP,12
1700001O22RIK,C9ORF50,HCOP,12
1700017B05RIK,C15ORF39,HCOP,12
1700019D03RIK,C2ORF88,HCOP,12
1700022I11RIK,SPATA31G1,HCOP,12
1700025G04RIK,C1ORF21,HCOP,12
1700028K03RIK,C1ORF146,HCOP,12
1700030J22RIK,C16ORF46,HCOP,12
1700030K09RIK,C19ORF44,HCOP,12
1700037C18RIK,C16ORF90,HCOP,12
1700088E04RIK,C22ORF23,HCOP,12
1700102P08RIK,C3ORF62,HCOP,12
1700123O20RIK,C14ORF119,HCOP,12
2010003K11RIK,C11ORF86,HCOP,12
2210016L21RIK,C12ORF43,HCOP,12
2300002M23RIK,C6ORF15,HCOP,12
2300009A05RIK,C15ORF61,HCOP,12
2310011J03RIK,C19ORF25,HCOP,12
2310022A10RIK,C19ORF47,HCOP,12
2310022B05RIK,C1ORF198,HCOP,12
2310030G06RIK,C11ORF52,HCOP,12
2310033P09RIK,C1ORF35,HCOP,12
2310057M21RIK,C10ORF88,HCOP,12
2410004B18RIK,C1ORF52,HCOP,12
2510009E07RIK,C3ORF70,HCOP,12
2510039O18RIK,KIAA2013,HCOP,12
2610528J11RIK,C1ORF210,HCOP,12
2700062C07RIK,C18ORF21,HCOP,12
2810004N23RIK,C1ORF131,HCOP,12
2900092C05RIK,C19ORF18,HCOP,12
3110040N11RIK,C15ORF40,HCOP,12
4833439L19RIK,KIAA1191,HCOP,12
4921524J17RIK,C16ORF87,HCOP,12
4921536K21RIK,C5ORF52,HCOP,12
4930447C04RIK,C14ORF39,HCOP,12
4930453N24RIK,C3ORF38,HCOP,12
4930505A04RIK,C2ORF73,HCOP,12
4930522H14RIK,C1ORF185,HCOP,12
4930524B15RIK,C5ORF47,HCOP,12
4930550C14RIK,C11ORF65,HCOP,12
4930590J08RIK,C3ORF20,HCOP,12
4931406C07RIK,C11ORF54,HCOP,12
4931414P19RIK,C14ORF93,HCOP,12
4933402J07RIK,C16ORF78,HCOP,12
4933402N03RIK,C10ORF120,HCOP,12
4933405L10RIK,C16ORF86,HCOP,12
4933411K16RIK,C10ORF62,HCOP,12
4933430I17RIK,C9ORF43,HCOP,12
4933434E20RIK,C1ORF43,HCOP,12
5730409E04RIK,C1ORF216,HCOP,12
5730455P16RIK,C17ORF75,HCOP,12
6030458C11RIK,C5ORF22,HCOP,12
6430571L13RIK,C3ORF18,HCOP,12
9130008F23RIK,C6ORF141,HCOP,12
9530068E07RIK,C5ORF15,HCOP,12
A1BG,A1BG,HCOP,12
A4GALT,A4GALT,HCOP,12
A4GNT,A4GNT,HCOP,12
A530016L24RIK,C14ORF180,HCOP,12
A830018L16RIK,C8ORF34,HCOP,12
A930018P22RIK,C11ORF91,HCOP,12
AA467197,C15ORF48,HCOP,12
AA986860,C1ORF116,HCOP,12
AAAS,AAAS,HCOP,12
AACS,AACS,HCOP,12
AADAC,AADAC,HCOP,12
AADACL3,AADACL3,HCOP,12
AADAT,AADAT,HCOP,12
AAK1,AAK1,HCOP,12
AAMDC,AAMDC,HCOP,12
AAMP,AAMP,HCOP,12
AANAT,AANAT,HCOP,12
AARD,AARD,HCOP,12
AARS1,AARS1,HCOP,12
AARS2,AARS2,HCOP,12
AASDHPPT,AASDHPPT,HCOP,12
AASS,AASS,HCOP,12
AATK,AATK,HCOP,12
AB124611,C19ORF38,HCOP,12
ABCA13,ABCA13,HCOP,12
ABCA2,ABCA2,HCOP,12
ABCA4,ABCA4,HCOP,12
ABCA5,ABCA5,HCOP,12
ABCB6,ABCB6,HCOP,12
ABCB8,ABCB8,HCOP,12
ABCB9,ABCB9,HCOP,12
ABCC1,ABCC1,HCOP,12
ABCC10,ABCC10,HCOP,12
ABCC9,ABCC9,HCOP,12
ABCD1,ABCD1,HCOP,12
ABCD2,ABCD2,HCOP,12
ABCE1,ABCE1,HCOP,12
ABCF1,ABCF1,HCOP,12
ABCF3,ABCF3,HCOP,12
ABCG1,ABCG1,HCOP,12
ABCG8,ABCG8,HCOP,12
ABHD10,ABHD10,HCOP,12
ABHD11,ABHD11,HCOP,12
ABHD12,ABHD12,HCOP,12
ABHD13,ABHD13,HCOP,12
ABHD14B,ABHD14B,HCOP,12
ABHD15,ABHD15,HCOP,12
ABHD16A,ABHD16A,HCOP,12
ABHD16B,ABHD16B,HCOP,12
ABHD18,ABHD18,HCOP,12
ABHD2,ABHD2,HCOP,12
ABHD3,ABHD3,HCOP,12
ABHD4,ABHD4,HCOP,12
